code,url,product_name,brands_tags,stores,owner,labels_tags,nutriscore_score,nutriscore_grade,quantity,fat_100g,saturated_fat_100g,sugars_100g,proteins_100g,carbohydrates_100g,energy_100g,salt_100g,sodium_100g,computed_energy_100g,organic,level_salt,level_saturated_fat,level_sugars,level_fat,vegan,vegetarian,palm_oil
750369041519,http://world-en.openfoodfacts.org/product/0750369041519/vegetable-pizza,Vegetable pizza,,,,,2,b,,6.99,2.8,3.5,11.19,25.87,879,0.98,0.392,888.65,,m,m,l,m,f,,f
663209132028,http://world-en.openfoodfacts.org/product/0663209132028/vegetable-pizza-denver,Vegetable Pizza,denver,,,,1,b,,4.35,2.61,1.74,9.13,23.91,711,0.7925,0.317,722.63,,m,m,l,m,f,,
810456010061,http://world-en.openfoodfacts.org/product/0810456010061/vegetarian-imported-stone-baked-italian-pizza-fiad-s-r-l,Vegetarian Imported Stone Baked Italian Pizza,fiad-s-r-l,,,,2,b,,6.29,2.1,1.4,7.69,30.07,849,0.98,0.392,874.65,,m,m,l,m,f,,f
26605111705,http://world-en.openfoodfacts.org/product/0026605111705/vegetarian-select-gourmet-flatbread-pizza-lucia-s-pizza-co,Vegetarian select gourmet flatbread pizza,lucia-s-pizza-co,,,,0,b,,9.15,2.61,1.96,14.38,20.92,904,0.735,0.294,938.65,,m,m,l,m,f,,f
4099100285727,http://world-en.openfoodfacts.org/product/4099100285727/veggie-cauliflower-crust-pizza,Veggie Cauliflower Crust Pizza,,,,en:no-gluten,1,b,,6.4,2.8,3.2,8.0,26.4,803,1.06,0.424,821.6,f,m,m,l,m,,,
28989104243,http://world-en.openfoodfacts.org/product/0028989104243/veggie-pepperoni-pizza-bites-morning-star-farms,Veggie Pepperoni Pizza Bites,morning-star-farms,,,"en:vegetarian,en:vegan",1,b,,8.2352941176471,2.3529411764706,2.3529411764706,10.588235294118,24.705882352941,886,1.2058823529412,0.48235294117648,904.7058823529457,f,m,m,l,m,t,t,
810757010845,http://world-en.openfoodfacts.org/product/0810757010845/veggie-pizza-schar,Veggie Pizza,schar,,,,1,b,,6.67,2.78,1.11,5.56,24.44,791,1.0275,0.411,756.79,,m,m,l,m,f,,
862871000332,http://world-en.openfoodfacts.org/product/0862871000332/veggie-pizza-veggie,"Veggie pizza, veggie",,,,en:no-gluten,1,b,,8.48,2.42,1.21,6.06,22.42,787,0.7575,0.303,797.92,f,m,m,l,m,f,,f
892453001235,http://world-en.openfoodfacts.org/product/0892453001235/veggie-vegan-pizza,Veggie vegan pizza,,,,,2,b,,8.55,0.66,2.63,3.29,27.63,799,1.035,0.414,841.99,,m,l,l,m,,,f
851641003109,http://world-en.openfoodfacts.org/product/0851641003109/venison-pork-green-peppers-onions-pizza,"Venison, pork, green peppers & onions pizza",,,,,2,b,,7.09,3.94,0.79,14.17,18.11,824,0.61,0.244,811.09,,m,m,l,m,f,f,f
41497027798,http://world-en.openfoodfacts.org/product/0041497027798/weis-pizza-bagels,"Weis, pizza bagels",weis,,,,0,b,,4.55,2.84,3.41,11.36,31.82,858,0.965,0.386,902.41,,m,m,l,m,f,,
41497027934,http://world-en.openfoodfacts.org/product/0041497027934/weis-pizza-bagels,"Weis, pizza bagels",weis,,,,1,b,,6.82,2.84,3.41,11.36,31.82,904,1.1925,0.477,986.4,,m,m,l,m,f,f,
13800446084,http://world-en.openfoodfacts.org/product/0013800446084/white-meat-chicken-red-onions-cilantro-reduced-fat-mozzarella-cheese-in-a-tangy-bbq-sauce-on-a-thin-crust-pizza,"White meat chicken, red onions, cilantro, reduced fat mozzarella cheese in a tangy bbq sauce on a thin crust pizza",,,,,-1,a,,5.29,1.76,6.47,12.35,32.35,958,0.4125,0.165,955.63,,m,m,m,m,f,f,
741643050204,http://world-en.openfoodfacts.org/product/0741643050204/white-spinach-thin-crust-pizza,White spinach thin crust pizza,,,,,2,b,,10.31746031746,3.968253968254,1.5873015873016,10.31746031746,26.190476190476,996,0.73412698412697,0.293650793650788,1002.380952380932,,m,m,l,m,,,
817350010180,http://world-en.openfoodfacts.org/product/0817350010180/whole-grain-crust-pizza-three-bakers,Whole grain crust pizza,three-bakers,,,,1,b,,6.67,2.96,0.74,9.63,28.15,866,1.185,0.474,889.05,,m,m,l,m,f,f,f
817350010197,http://world-en.openfoodfacts.org/product/0817350010197/whole-grain-thin-crust-pizza-three-bakers,Whole grain thin crust pizza,three-bakers,,,,0,b,,6.25,3.12,0.78,10.16,29.69,883,1.075,0.43,908.7,,m,m,l,m,f,f,f
70784000077,http://world-en.openfoodfacts.org/product/0070784000077/wood-fired-margherita-naples-style-hand-stretched-pizza,Wood fired margherita naples style hand-stretched pizza,,,,,1,b,,9.33,4.0,3.33,10.0,27.33,975,0.8175,0.327,979.82,,m,m,l,m,f,,f
70784000053,http://world-en.openfoodfacts.org/product/0070784000053/wood-fired-spinach-goat-cheese-pizza,Wood fired spinach & goat cheese pizza,,,,,1,b,,7.14,2.6,3.9,7.79,25.97,816,0.8775,0.351,838.1,,m,m,l,m,f,,f
