code	url	product_name	brands_tags	stores	owner	labels_tags	nutriscore_score	nutriscore_grade	quantity	fat_100g	saturated_fat_100g	sugars_100g	proteins_100g	carbohydrates_100g	energy_100g	salt_100g	sodium_100g	computed_energy_100g	organic	level_salt	level_saturated_fat	level_sugars	level_fat	vegan	vegetarian	palm_oil
0075706133147	http://world-en.openfoodfacts.org/product/0075706133147/palermo-s-thick-rising-crust-pizza-supreme-supreme	Palermo's, thick rising crust pizza, supreme, supreme	palermo-s	NA	NA	NA	4	c	NA	9.63	3.33	2.96	8.89	26.67	962	1.3325	0.533	960.83	NA	m	m	l	m	f	f	
0011110864178	http://world-en.openfoodfacts.org/product/0011110864178/pals-combination-pizza-kroger	Pals combination pizza	kroger	Kroger	NA	NA	5	c	NA	10.2	3.4	2.04	7.48	31.97	1054	1.0725	0.429	1048.05	NA	m	m	l	m	f	f	t
0011110864161	http://world-en.openfoodfacts.org/product/0011110864161/pals-pizza	Pals pizza	NA	NA	NA	NA	11	d	NA	12.24	4.08	2.04	8.16	31.97	1109	1.3275	0.531	1135.09	NA	m	m	l	m	f	f	t
0078742053462	http://world-en.openfoodfacts.org/product/0078742053462/pan-pizza	Pan pizza	NA	NA	NA	NA	11	d	NA	11.59	4.35	2.9	10.14	23.91	1000	1.575	0.63	1007.68	NA	h	m	l	m	f	f	t
0039131169263	http://world-en.openfoodfacts.org/product/0039131169263/pan-pizza-bernatello-s-pizza-inc	Pan Pizza	bernatello-s-pizza-inc	NA	NA	NA	10	c	NA	7.41	2.96	2.96	14.07	27.41	929	1.6475	0.659	979.33	NA	h	m	l	m	f	f	t
0045400840184	http://world-en.openfoodfacts.org/product/0045400840184/party-pizza-cheese-me-too	Party pizza, cheese	me-too	NA	NA	NA	3	c	NA	8.84	3.06	2.72	8.84	33.33	1025	0.8325	0.333	1043.97	NA	m	m	l	m	f		f
0045400840207	http://world-en.openfoodfacts.org/product/0045400840207/party-pizza-combination-sausage-pepperoni-me-too	Party pizza combination, sausage & pepperoni	me-too	NA	NA	NA	5	c	NA	10.2	3.4	2.04	7.48	31.97	1054	1.0725	0.429	1048.05	NA	m	m	l	m	f	f	t
0036800041240	http://world-en.openfoodfacts.org/product/0036800041240/partyzone-cheese-pizza-bites	Partyzone, cheese pizza bites	NA	NA	NA	NA	3	c	NA	7.06	2.35	3.53	7.06	35.29	983	1.3525	0.541	981.17	NA	m	m	l	m	f		t
0036800035508	http://world-en.openfoodfacts.org/product/0036800035508/partyzone-mini-pizza-bagels-combination	Partyzone, mini pizza bagels, combination	NA	NA	NA	NA	2	b	NA	6.82	2.84	3.41	10.23	30.68	904	1.25	0.5	947.81	NA	m	m	l	m	f	f	
0036800035492	http://world-en.openfoodfacts.org/product/0036800035492/partyzone-mini-pizza-bagels-pepperoni	Partyzone, mini pizza bagels, pepperoni	NA	NA	NA	NA	1	b	NA	6.82	2.84	3.41	11.36	31.82	904	1.1925	0.477	986.40	NA	m	m	l	m	f	f	
